# Lewis B. [Fuc(a1-2) Gal(b1-3)][Fuc(a1-4)] GlcNAc(b1-0)
# O18
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+ 868.4396

m/z     	z	I
206.77245	3+	4471445
216.10434	3+	4386939
226.10794	1+	3017248
243.08361	2+	36813800
245.45575	3+	3587716
254.12461	1+	77435960
256.14016	3+	4899548
268.80348	3+	5027347
274.13547	3+	5269589
289.80245	3+	3626849
290.15095	3+	44542860
339.67009	2+	2661783
355.17277	1+	5808724
369.15104	2+	6396867
371.01491	1+	17078058
371.1676	1+	9311812
372.18845	1+	6916844
373.19616	1+	4017207
384.18763	1+	12891755
385.18314	1+	12247124
386.20352	1+	89580192
387.19887	1+	17682206
396.19907	1+	8849236
398.20365	1+	9223882
398.21474	1+	4125507
399.00985	1+	10676464
399.16251	1+	18700748
401.02541	1+	36808924
401.17818	1+	107305960
402.65823	2+	5641553
406.84383	2+	2676416
414.19818	1+	29499098
414.23472	1+	5680893
415.19389	1+	9696224
416.21411	1+	45887596
417.17317	1+	17104232
418.20649	2+	6691074
418.22973	1+	70298232
426.19843	1+	12709443
426.20978	1+	21937348
428.21429	1+	86158400
429.22189	2+	3620408
431.18874	1+	970867136
433.20442	1+	339692576
434.22067	2+	11180766
436.24265	1+	32279404
440.18903	1+	8707295
442.19388	1+	4679744
442.70615	2+	6694144
444.20874	1+	68958304
445.20448	1+	12969193
447.22007	1+	81695056
456.22037	1+	11273058
458.22474	1+	1103194624
460.20392	1+	12322962
460.22858	1+	22037284
471.19481	1+	2600693
474.21956	1+	67729528
475.22823	1+	2988169
475.22829	3+	6777382
476.2354	2+	9455638
477.2307	1+	6260508
485.73858	1+	7053457
487.23911	1+	6242138
489.04188	1+	4897461
491.21016	1+	6012372
502.21278	1+	3355059
504.23007	1+	114206584
518.2463	1+	90313160
520.2616	1+	15555301
530.25713	1+	48453800
546.27705	1+	18418860
558.27796	1+	11045984
560.25688	1+	21431834
560.29303	1+	4878872
572.29258	1+	9469619
574.27107	1+	4640566
576.28772	1+	20878742
588.28796	1+	18491220
590.30346	1+	15543029
600.28834	1+	3359125
602.3033	1+	53120952
605.27863	1+	28928440
607.2935	1+	16091448
616.28359	1+	5429435
618.29886	1+	86068928
620.3138	1+	220062080
630.30937	1+	5691792
632.31385	1+	110436056
634.29355	1+	8220439
636.30889	1+	50211628
646.29399	1+	8247166
648.30883	1+	154485200
662.32446	1+	316094272
664.3037	1+	31381844
676.30424	1+	7983088
678.32005	1+	122411584
680.33503	1+	59757772
683.13322	2+	2713375
694.35072	1+	29474066
705.81132	2+	4115682
706.31407	1+	3168836
706.35073	1+	10602816
708.32989	1+	624129664
732.37735	1+	5801272
736.3612	1+	91882016
748.3626	1+	4110185
750.37658	1+	59977648
752.35622	1+	15661255
763.37205	1+	15361417
764.35696	1+	13144090
765.37457	1+	4002838
776.39232	1+	25615134
778.37243	1+	5255954
780.35128	1+	6753778
791.37698	1+	25269666
794.40309	1+	172863632
804.39833	1+	4874944
806.40302	1+	153121328
812.42472	1+	5245507
822.39877	1+	189982816
824.41357	1+	61823008
834.4092	1+	11170469
836.41342	1+	501569472
838.39296	1+	40771092
850.97048	2+	3166945
852.40849	1+	70411096
868.43963	1+	26852149248
873.41534	2+	21266168
1016.37209	1+	3346780
1206.18298	1+	3941580
1239.81551	1+	3081353
1240.58501	2+	3501465
1419.83396	1+	3374447
1965.93693	2+	7080907
2382.8309	1+	4601862
